date,value
2009-01-02,0.000285
2009-01-10,0.016639
2009-01-13,0.085231
2009-01-16,0.167422
2009-01-19,0.241267
2009-01-22,0.310038
2009-01-25,0.415376
2009-01-28,0.483934
2009-01-31,0.568769
2009-02-03,0.655754
2009-02-06,0.734941
2009-02-09,0.828643
2009-02-12,0.910687
2009-02-15,0.996166
2009-02-18,1.076697
2009-02-21,1.156301
2009-02-24,1.230171
2009-02-27,1.304902
2009-03-02,1.373129
2009-03-05,1.447383
2009-03-08,1.5242
2009-03-11,1.595217
2009-03-14,1.670779
2009-03-17,1.753607
2009-03-20,1.833121
2009-03-23,1.899013
2009-03-26,1.97544
2009-03-30,2.051495
2009-04-02,2.129452
2009-04-05,2.203708
2009-04-08,2.278951
2009-04-11,2.346311
2009-04-14,2.424693
2009-04-17,2.502404
2009-04-20,2.581214
2009-04-23,2.673045
2009-04-26,2.739522
2009-04-29,2.813194
2009-05-02,2.897569
2009-05-05,2.981532
2009-05-08,3.067371
2009-05-11,3.125624
2009-05-14,3.205018
2009-05-17,3.291993
2009-05-20,3.363465
2009-05-23,3.420452
2009-05-26,3.472275
2009-05-29,3.545444
2009-06-01,3.619678
2009-06-04,3.674588
2009-06-07,3.701129
2009-06-10,3.741915
2009-06-13,3.797405
2009-06-16,3.847881
2009-06-19,3.897498
2009-06-22,3.95057
2009-06-25,4.011288
2009-06-28,4.065805
2009-07-01,4.112902
2009-07-04,4.164995
2009-07-07,4.219413
2009-07-10,4.268848
2009-07-13,4.320876
2009-07-16,4.362337
2009-07-19,4.388881
2009-07-22,4.450501
2009-07-25,4.49558
2009-07-28,4.52299
2009-07-31,4.539671
2009-08-03,4.554339
2009-08-06,4.593163
2009-08-09,4.659909
2009-08-12,4.713038
2009-08-15,4.758552
2009-08-18,4.772133
2009-08-21,4.782902
2009-08-24,4.790435
2009-08-27,4.820564
2009-08-30,4.859822
2009-09-02,4.91725
2009-09-05,4.9599
2009-09-08,5.009346
2009-09-11,5.050345
2009-09-14,5.09589
2009-09-17,5.13712
2009-09-20,5.199689
2009-09-23,5.2426
2009-09-26,5.293743
2009-09-29,5.354295
2009-10-02,5.414328
2009-10-05,5.454973
2009-10-08,5.490925
2009-10-11,5.539663
2009-10-14,5.589063
2009-10-17,5.641584
2009-10-20,5.694815
2009-10-23,5.770388
2009-10-25,5.820218
2009-10-28,5.86572
2009-10-31,5.903029
2009-11-03,5.928881
2009-11-06,5.973057
2009-11-09,6.017476
2009-11-12,6.069942
2009-11-15,6.126518
2009-11-18,6.184299
2009-11-21,6.244853
2009-11-24,6.308489
2009-11-27,6.361945
2009-11-30,6.406373
2009-12-03,6.480948
2009-12-06,6.527339
2009-12-09,6.602926
2009-12-12,6.68098
2009-12-15,6.790871
2009-12-18,6.908696
2009-12-21,7.027292
2009-12-24,7.128668
2009-12-27,7.235288
2009-12-30,7.332134
2010-01-02,7.417838
2010-01-05,7.549362
2010-01-08,7.650748
2010-01-11,7.758636
2010-01-14,7.885734
2010-01-17,7.972764
2010-01-20,8.06068
2010-01-23,8.166247
2010-01-26,8.297509
2010-01-29,8.420739
2010-02-01,8.551008
2010-02-04,8.698129
2010-02-07,8.868468
2010-02-10,9.124726
2010-02-13,9.27668
2010-02-16,9.422701
2010-02-19,9.572792
2010-02-22,9.76883
2010-02-25,9.922062
2010-02-28,10.046184
2010-03-03,10.184584
2010-03-06,10.355365
2010-03-09,10.49616
2010-03-12,10.599664
2010-03-15,10.695495
2010-03-18,10.798219
2010-03-21,10.938063
2010-03-24,11.077524
2010-03-27,11.251824
2010-03-31,11.392947
2010-04-03,11.517309
2010-04-06,11.653204
2010-04-09,11.804382
2010-04-12,12.032366
2010-04-15,12.202844
