date,value
2015-08-02,0.000285
2015-08-05,0.016639
2015-08-08,0.085231
2015-08-11,0.241267
2015-08-14,0.483934
2015-08-17,0.996166
2015-08-20,1.076697
2015-08-23,1.156301
2015-08-26,1.304902
2015-08-29,1.373129
2015-09-01,1.753607
2015-09-04,1.833121
2015-09-07,1.899013
2015-09-10,1.97544
2015-09-13,2.051495
2015-09-16,2.129452
2015-09-19,2.346311
2015-09-22,2.673045
2015-09-25,2.739522
2015-09-28,2.813194
2015-10-01,2.897569
2015-10-04,2.981532
2015-10-07,3.067371
2015-10-10,3.472275
2015-10-13,3.619678
2015-10-16,3.674588
2015-10-19,3.701129
2015-10-22,3.741915
2015-10-25,3.797405
2015-10-27,3.847881
2015-10-30,3.897498
2015-11-02,4.112902
2015-11-05,4.219413
2015-11-08,4.268848
2015-11-11,4.320876
2015-11-14,4.49558
2015-11-17,4.52299
2015-11-20,4.539671
2015-11-23,4.554339
2015-11-26,4.772133
2015-11-29,4.782902
2015-12-02,4.790435
2015-12-05,5.009346
2015-12-08,5.293743
2015-12-11,5.354295
2015-12-14,5.414328
2015-12-17,5.641584
2015-12-20,5.694815
2015-12-23,5.770388
2015-12-26,5.86572
2015-12-29,5.903029
2016-01-01,5.928881
2016-01-04,6.126518
2016-01-07,6.244853
2016-01-10,6.308489
2016-01-13,6.908696
2016-01-16,7.027292
2016-01-19,7.128668
2016-01-22,7.235288
2016-01-25,7.332134
2016-01-28,7.758636
2016-01-31,7.885734
2016-02-03,7.972764
2016-02-06,8.06068
2016-02-09,8.166247
2016-02-12,8.551008
2016-02-15,8.698129
2016-02-18,9.27668
2016-02-21,9.422701
2016-02-24,9.572792
2016-02-27,9.76883
2016-03-01,10.046184
2016-03-04,10.184584
2016-03-07,10.599664
2016-03-10,10.695495
2016-03-13,10.938063
2016-03-16,11.517309
2016-03-19,11.653204
2016-03-22,11.804382
2016-03-25,12.032366
2016-03-29,12.469603
2016-04-01,13.518781
2016-04-04,13.848148
2016-04-07,14.00248
2016-04-10,14.134825
2016-04-13,14.293795
2016-04-16,14.468855
2016-04-19,15.556197
2016-04-22,15.752429
2016-04-25,15.952253
2016-04-28,16.090362
2016-05-01,16.575434
2016-05-04,16.747808
2016-05-07,16.945043
2016-05-10,17.114328
2016-05-13,18.435379
2016-05-16,18.615679
2016-05-19,19.667504
2016-05-22,22.167054
2016-05-25,23.007368
2016-05-28,24.14263
2016-05-31,25.088919
2016-06-03,25.705968
2016-06-06,26.104078
2016-06-09,27.745396
2016-06-12,28.252929
2016-06-15,28.545437
2016-06-18,28.930062
2016-06-21,29.218766
2016-06-24,29.489047
2016-06-27,30.398527
2016-06-30,30.675789
2016-07-03,31.053689
2016-07-06,31.455441
2016-07-09,31.811819
2016-07-12,32.911544
2016-07-15,33.749753
2016-07-18,34.214387
