miner,count
5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,23462
ea674fdde714fd979de3edf0f56aa9716b898ec8,18848
f20b338752976878754518183873602902360704,9678
04668ec2f57cc15c381b461b9fedab5d451c8f7f,5557
1ad91ee08f21be3de0ba2ba6918e714da6b45836,4932
99c85bb64564d9ef9a99621301f22c9993cb89e3,4375
b3b7874f13387d44a3398d298b075b7a3505d8d4,3545
52bc44d5378309ee2abf1539bf71de1b7d7be3b5,3522
bcc817f057950b0df41206c5d7125e6225cae18e,2515
00192fb10df37c9fb26829eb2cc623cd1bf599e8,2287
3ecef08d0e2dad803847e052249bb4f8bff2d5bb,2235
c8f595e2084db484f8a80109101d58625223b7c9,2016
d224ca0c819e8e97ba0136b3b95ceff503b79f53,1623
f541c3cd1d2df407fb9bb52b3489fc2aaeedd97e,1220
c365c3315cf926351ccaf13fa7d19c8c4058c8e1,1191
45a36a8e118c37e4c47ef4ab827a7c9e579e11e2,1058
7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,1029
8595dd9e0438640b5e1254f9df579ac12a86865f,989
2f731c3e8cd264371ffdb635d07c14a6303df52a,962
6ebaf477f83e055589c1188bcc6ddccd8c9b131a,960
005e288d713a5fb3d7c9cf1b43810a98688c7223,690
002e08000acbbae2155fab7ac01929564949070d,613
1ca43b645886c98d7eb7d27ec16ea59f509cbe1a,374
2a0eee948fbe9bd4b661adedba57425f753ea0f6,363
5c23e54fe46ef9181e4403d6e1dbb9aa21c0b185,344
eea5b82b61424df8020f5fedd81767f2d0d25bfb,276
06b8c5883ec71bc3f4b332081519f23834c8706e,256
3f0ee622f9e89df9db62c35cae55d57c56fd56f6,254
35f61dfb08ada13eba64bf156b80df3d5b3a738d,253
